gihapon|CLTC
he|DT
haeya|DT
heya|DT
pagsakub|VB
neya|DT
meda|DT
genkit-an|VB
genpakianhan|VB
in-o|NTRG
preo|NN
babataun|VB
gen|DT
kuroskus|VB
bhen|NN
malik|CLTC
gimuliat|VB
dayun|VB
gensumatan|VB
pera|CLTC
tag-eya|NN
nahadluk|VB
ne|DT
bumalhen|VB
kimberly|NN
ma-alas|MDFR
magdinamo|VB
magpinaiha|VB
pag-ayos|VB
mauntat|VB
pamustura|VB
nakag-ahit|VB
nanludgod|VB
buring|NN
pamada|VB
kagagawasan|VB
bumibilib|VB
spooting|FW
blackwater|FW
ma|DT
nahingatook|VB
naikangirisi|VB
gisiya-syahani|VB
nagdalipapanos|VB
magsayop|VB
kaisugon|MDFR
hinabang|VB
po|CLTC
senyasi|VB
magkadiru-dilain|MDFR
ifm|FW
nakikiduyog|VB
aabot|VB
kontaloy|VB
tumapo|VB
kahigrani|MDFR
ka-swerte|NN
celluloid|FW
nakakarapo|VB
i|FW
labidabs|NN
nagpapanarit-sarit|VB
abitapa|IJTN
pupukuon|VB
magpinapiraw|VB
tumawa|VB
intawon|VB
katurugon|NN
pag-eksplekar|VB
ginnenerbyos|VB
makagsiring|VB
nababatasan|NN
deadma|NN
ka-strikto|NN
ka-tuptop|VB
igkalipay|VB
igkasakit|VB
masyado|CLTC
ginsaribuhan|VB
namiminggot|VB
ok|CLTC
langkawag|MDFR
o-oo|IJTN
nagliningkuron|VB
mangaway|VB
akseptaron|VB
nagdudumot|VB
ginpatindog|VB
naniniskig|MDFR
gin-ayos|VB
pan-model|MDFR
ron|NN
sss-sangkay|NN
tono|NN
tag-usa-usahon|VB
hisayuran|VB
nanlingi|VB
ma-drawing|VB
kahibatii|VB
makikigkita|VB
sumiplat|VB
letse|IJTN
kamaoo|NN
nakukukuntento|VB
naghihinikbion|VB
sindo|CJTN
kahibulag|VB
kadaliay|MDFR
tumiskig|VB
manor|NN
sangpat|NN
hanu|NTRG
ota|NN
cho|NN
ragtog-it|MDFR
sakla|VB
onsoy|NN
kumo|MDFR
agod|VB
lindong|VB
gusting|NN
subay|VB
pantiyon|VB
gupong|MDFR
konsoylo|VB
hurob-hurob|VB
derby|NN
pajero|NN
tugbang|VB
salamagan|VB
umurudto|NN
panaghap|NN
kumabad|VB
talintuturo|NN
nagkabuslong|VB
nagkilalaay|VB
ambi|NN
uruambi|NN
kulaos|VB
dedbol|NN
mag-eskrima|VB
pagpinanmenggar|VB
bengar|VB
sunlog|VB
tiaw|NN
ginmuop|VB
kapisuan|NN
kumon|NN
pagkurahab|VB
buyaboy|VB
bahalina|NN
madunong|NN
kalanoy|VB
hinaranting|VB
samarkay|NN
kapin|NN
karuhaan|MDFR
sininggolay|VB
pinsing|NN
unahanin|MDFR
manungdo|VB
eskrima|NN
nakatapang|VB
pagkakatpong|VB
adton|MDFR
nahirasok|VB
sumala|NN
manhilandong|VB
a-asi|IJTN
hna|IJTN
nagkahudlog|VB
mama-an|NN
daawla|CLTC
halapit|NN
jin|NN
ana|NN
guli|NN
maaraam|NN
himon|NN
pantion|FW
baro|NN
tagpis|NN
mahapuhap|NN
ul|IJTN
gadto|MDFR
hs|IJTN
maidangat|VB
burok|NN
kansas|VB
nagtiakang|VB
h|IJTN
matipaunan-o|NTRG
kanauuna|VB
nag-aanu|NTRG
atabang|VB
tinang|NN
muir|MDFR
pagkabawhan|MDFR
intindindi|VB
resolsuyon|NN
ulitawohay|NN
maghugos|VB
dakop-dakopay—pero|VB
guin-pakalma|VB
guin-papabay-an|VB
babariwaray|VB
