,lokal|NN,november|NN,12|NMBR,",|?",2012|NMBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ginsumat|VB,naman|CLTC,ni|DT,castillote|FW,nga|LNKR,an|DT,papanginanuon|VB,han|DT,ira|PNN,buhatan|NN,amo|NN,in|DT,kon|DT,may-ada|MDRF,tama|MDFR,nga|LNKR,labeling|FW,an|DT,mga|MDFR,mulayan|VB,ngan|CJTN,an|DT,mga|MDFR,ine|DT,in|DT,dapat|VB,waray|MDFR,gamiti|VB,hin|DT,pintar|VB,nga|LNKR,pwede|MDFR,makahilo|MDFR,ngadto|DT,han|DT,mga|MDFR,kabataan|NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ginsasagdonan|VB,naman|CLTC,adton|MDFR,mga|MDFR,manmaralit|NN,nga|LNKR,dire|RP,basta|IJTN,basta|IJTN,pumalit|VB,hin|DT,mulayan|VB,bisan|MDFR,diin|PNN,ngan|CJTN,dapat|MDFR,basahon|VB,adton|MDFR,tatak|NN,han|DT,mulayan|VB,agud|IJTN,masiguro|VB,nga|LNKR,talwas|MDFR,,para|CJTN,ngadto|PSTN,han|DT,imo|PN,tatagan|VB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
an|DT,aswang|NN,ha|DT,bungto|NN,han|DT,tarangnan|NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
usa|NMBR,hiya|PNN,nga|LNKR,babaye|NN,nga|LNKR,maka|AFX,diyosnon|NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
han|DT,usa|NMBR,aka|IJTN,adlaw|NN,mayda|MDFR,niya|PNN,naging|DT,uyab|NN,",|?",nga|LNKR,iya|PNN,,asawa|NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maupay|MDFR,gud|CLTC,man|CLTC,it|RP,kadalagan|MDFR,hit|RP,ira|PNN,relasyon|NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biski|MDFR,may|MDFR,asawa|NN,na|RP,",|?",waray|MDFR,lah|IJTN,gihapon|RP,mag|CLTC,bag-o|MDFR,it|RP,batasan|MDFR,nga|LNKR,maupay|MDFR,ni|DT,mana|NN,lydia|NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
han|DT,usa|NMBR,aka|IJTN,adlaw|NN,,usa|NMBR,nga|LNKR,lagas|MDFR,nga|LNKR,bag-o|MDFR,pala|NN,niya|PNN,pagkita-a|VB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
han|DT,iya|PNN,pag|CLTC,,pakiana|VB,tikang|MDFR,daw|MDFR,hiya|PNN,ha|DT,bukid|NN,didto|PSTN,daw|MDFR,hiya|PNN,naukoy|VB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngan|CJTN,it|DT,iya|PNN,daw|MDFR,trabaho|NN,parag|DT,uma|NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ine|DT,nga|LNKR,may|MDFR,,hatag|VB,ha|DT,iya|PNN,,nga|LNKR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,iya|PNN,pagsabot|VB,nga|LNKR,buotan|MDFR,an|DT,lagas|MDFR,iya|PNN,,karawat|VB,an|DT,tinuon|NN,nga|LNKR,gaway|NN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
