amon,NN
,
Jeremy,NN
Evardone,NN
,
kon,CJTN
,
Ingko,NN
,
sirom,MDFR
am,CJTN
Ditoy,NN
,
nakasakay,MDFR
kangga,NN
gindadanas,VB
,
,
napiyong,VB
kundi,CJTN
nangungulaw,VB
direksyon,DT
,
mo,NN
makulwan,VB
lampara,NN
bablay,NN
,
,
hagluag,MDFR
pasakay,VB
napuputos,VB
kasisidman,MDFR
mababatian,VB
mao,IJTN
hururingay,VB
lanyog,DT
di,CJTN
pagginhawa,VB
panlagapok,VB
martilyo,NN
,
,
,
baryohanon,NN
panday,NN
nagtatrabaho,VB
nag-aapura,VB
lungon,DT
,
,
,
,
,
tipauli,VB
,
,
nagrurumba,VB
hunahuna,MDFR
,
arog,NN
posible,IJTN
sinurender,DT
,
,
paraghubog,NN
,
Tatay,NN
tibihon,MDFR
Nanay,NN
simang,MDFR
Manding,NN
paragturi,NN
purya,MDFR
sira,MDFR
diyos,NN
,
nahinumdom,VB
,
,
ginsugo,VB
,
,
sobre,NN
pakahaw-as,VB
namon,NN
,
hinumdom,VB
nahinabo,VB
engkwentro,VB
ginhihimuan,VB
pwede,DT
,
nakikimaluoy,DT
kabugtuan,NN
siya,NN
nagdedepensa,VB
ulitawuhay,NN
bugoy,NN
nakakarawat,DT
,
Totoy,NN
nagrumba,VB
siki,NN
,
piktaw,CJTN
panlagabong,VB
,
hiwa,DT
nakikidurongan,DT
nagtitikadako,VB
,
nasasabtan,DT
,
kulba,MDFR
gin-abat,MDFR
ito,CJTN
raysang,NN
ginmamartilyo,VB
,
nagtatabas,VB
maihap,NMBR
,
iginkakatapo,MDFR
palabas,NN
higante,NN
sinehan,NN
pag-inupod,DT
,
pinakasuok,DT
,
antis,CJTN
,
,
eksena,VB
,
ngadto,DT
,
,
pulgadas,DT
ginmamaso,VB
nakukulwan,VB
napara,DT
abat,DT
,
nanunuro,MDFR
hulas,MDFR
muhog,NN
rapadapa,NN
kilometro,DT
malurulaksi,MDFR
,
nakakabukod,VB
ulaling,IJTN
,
,
nagliliwat,VB
tingala,DT
tungod,MDFR
pag-apura,VB
ig,CJTN
masirom-sirom,MDFR
,
,
nagdidinalagan,VB
,
ginbubukod,VB
ako,NN
,
,
laksi,CJTN
iginpapalid,VB
gindadalaganan,VB
mahigimata,VB
,
sikhan,DT
kirisaw-kisaw,VB
bale-wara,MDFR
nagpapaphados,VB
pakasampaw,DT
welcome,CJTN
pagdalagan,VB
nakakaagaw,VB
atensyon,VB
maribhong,DT
mahuyo,VB
harampang,VB
burutbotan,IJTN
nakaagaw,VB
kawara,VB
sirado,VB
tindahan—temprano,PNN
alas-siyete,VB
ginhanap,VB
gintitikangan,VB
lakaw,DT
gulpi,DT
banog-banog,NN
nakahigot,VB
naghuhuyop,VB
nagdidikta,VB
liniko,VB
kanto,DT
kunay,DT
kanra,DT
ban-oha,DT
diniretso,VB
kara,IJTN
paghinangos-hangos,VB
pagtinulon,VB
paghinurim-hurim,VB
nakakabati,VB
liningi,VB
pan-grade,VB
nangangatugbos,VB
tagliligid,DT
maaning-ing,PNN
inagi,VB
hall,NN
unipormado,DT
haglaba,DT
nakapalibot,DT
duda,DT
nagsuot,VB
naghababaw,DT
nagdalapurap,VB
